application_id,months_ago,utilization_pct
113824,12,63.76
113824,11,70.83
113824,10,60.11
113824,9,60.31
113824,8,43.04
113824,7,46.04
113824,6,46.91
113824,5,51.87
113824,4,50.1
113824,3,59.32
113824,2,54.38
113824,1,43.0
106267,12,18.29
106267,11,29.17
106267,10,57.89
106267,9,45.85
106267,8,57.51
106267,7,49.71
106267,6,54.14
106267,5,35.45
106267,4,48.98
106267,3,40.52
106267,2,60.11
106267,1,28.34
102788,12,63.94
102788,11,40.91
102788,10,47.18
102788,9,49.05
102788,8,63.7
102788,7,40.43
102788,6,52.85
102788,5,61.41
102788,4,43.01
102788,3,47.83
102788,2,56.48
102788,1,53.93
110056,12,63.42
110056,11,58.1
110056,10,54.09
110056,9,66.79
110056,8,40.12
110056,7,50.39
110056,6,44.39
110056,5,52.78
110056,4,48.81
110056,3,44.81
110056,2,56.58
110056,1,58.43
111244,12,21.43
111244,11,33.38
111244,10,21.07
111244,9,19.88
111244,8,40.33
111244,7,33.75
111244,6,11.21
111244,5,15.06
111244,4,25.51
111244,3,16.19
111244,2,10.52
111244,1,31.59
100165,12,46.01
100165,11,50.05
100165,10,61.38
100165,9,67.63
100165,8,61.28
100165,7,63.16
100165,6,63.51
100165,5,38.74
100165,4,53.65
100165,3,36.74
100165,2,66.72
100165,1,46.11
109509,12,3.23
109509,11,9.51
109509,10,19.01
109509,9,18.85
109509,8,8.52
109509,7,26.72
109509,6,0.0
109509,5,17.15
109509,4,18.8
109509,3,0.0
109509,2,15.5
109509,1,25.3
109556,12,45.74
109556,11,31.78
109556,10,55.52
109556,9,41.42
109556,8,47.65
109556,7,36.07
109556,6,37.86
109556,5,47.13
109556,4,48.37
109556,3,52.5
109556,2,58.14
109556,1,49.49
100784,12,25.1
100784,11,28.68
100784,10,23.51
100784,9,18.39
100784,8,31.63
100784,7,28.1
100784,6,28.45
100784,5,20.32
100784,4,13.32
100784,3,17.95
100784,2,21.88
100784,1,39.67
104433,12,41.25
104433,11,48.59
104433,10,48.7
104433,9,36.57
104433,8,47.08
104433,7,51.45
104433,6,49.72
104433,5,44.37
104433,4,40.68
104433,3,49.09
104433,2,56.28
104433,1,43.77
103392,12,57.72
103392,11,55.09
103392,10,44.33
103392,9,35.16
103392,8,47.01
103392,7,57.58
103392,6,48.81
103392,5,46.01
103392,4,58.96
103392,3,68.26
103392,2,63.47
103392,1,68.14
106162,12,46.44
106162,11,45.45
106162,10,45.7
106162,9,57.51
106162,8,57.96
106162,7,40.83
106162,6,57.56
106162,5,46.03
106162,4,58.28
106162,3,45.86
106162,2,59.64
106162,1,40.38
104613,12,43.53
104613,11,52.41
104613,10,43.38
104613,9,52.7
104613,8,58.36
104613,7,45.48
104613,6,44.64
104613,5,64.77
104613,4,49.68
104613,3,56.99
104613,2,60.17
104613,1,53.7
102517,12,44.94
102517,11,32.13
102517,10,55.43
102517,9,26.54
102517,8,37.27
102517,7,31.22
102517,6,36.81
102517,5,35.28
102517,4,34.45
102517,3,50.6
102517,2,44.39
102517,1,20.95
103410,12,8.91
103410,11,18.26
103410,10,36.87
103410,9,29.08
103410,8,41.28
103410,7,34.18
103410,6,0.0
103410,5,31.87
103410,4,19.28
103410,3,16.14
103410,2,6.24
103410,1,16.49
104205,12,18.57
104205,11,15.68
104205,10,38.78
104205,9,17.44
104205,8,23.72
104205,7,22.65
104205,6,36.5
104205,5,27.74
104205,4,6.8
104205,3,21.71
104205,2,30.79
104205,1,19.75
111724,12,10.17
111724,11,18.68
111724,10,51.38
111724,9,24.01
111724,8,27.33
111724,7,25.19
111724,6,18.85
111724,5,17.09
111724,4,32.58
111724,3,33.43
111724,2,20.11
111724,1,20.96
105089,12,57.48
105089,11,44.31
105089,10,67.46
105089,9,57.67
105089,8,49.95
105089,7,56.78
105089,6,66.57
105089,5,30.24
105089,4,58.53
105089,3,38.77
105089,2,56.61
105089,1,68.06
105200,12,42.87
105200,11,41.48
105200,10,37.12
105200,9,30.5
105200,8,41.82
105200,7,44.46
105200,6,47.8
105200,5,37.9
105200,4,39.68
105200,3,44.83
105200,2,50.86
105200,1,36.95
107942,12,24.15
107942,11,23.64
107942,10,44.52
107942,9,21.2
107942,8,36.11
107942,7,31.57
107942,6,19.7
107942,5,23.7
107942,4,46.96
107942,3,42.27
107942,2,40.66
107942,1,51.48
108302,12,25.58
108302,11,20.18
108302,10,15.82
108302,9,9.28
108302,8,24.52
108302,7,28.22
108302,6,21.74
108302,5,24.44
108302,4,25.55
108302,3,15.13
108302,2,22.55
108302,1,17.03
112349,12,35.77
112349,11,29.37
112349,10,38.12
112349,9,26.22
112349,8,25.2
112349,7,20.35
112349,6,35.84
112349,5,29.4
112349,4,31.01
112349,3,22.19
112349,2,38.94
112349,1,28.53
102211,12,55.4
102211,11,68.28
102211,10,64.21
102211,9,43.99
102211,8,56.67
102211,7,58.8
102211,6,59.1
102211,5,47.21
102211,4,53.65
102211,3,52.84
102211,2,53.72
102211,1,54.56
111386,12,21.16
111386,11,55.17
111386,10,41.45
111386,9,42.95
111386,8,30.35
111386,7,27.04
111386,6,13.18
111386,5,31.29
